Chemicals,Chemical_Count,PharmGKB_ID,RS_ID,Chromosome,Postion,Gene,Annotation_ID,Level_of_Evidence,Types,Phenotypes,OMB_Races,Unknown_Race,Mixed_Population
PA449014:cisplatin;PA128406956:fluorouracil;PA450526:mitoxantrone,3,PA166158918,rs12613732,chr2,31249427,GALNT14,1448102913,3,efficacy,"PA444447:Carcinoma, Hepatocellular",,1,
PA133950441:hmg coa reductase inhibitors,1,PA166135001,rs12654264,chr5,74648603,HMGCR,1183533596,3,other,PA443756:Colonic Neoplasms,white,,
PA450616:nevirapine,1,PA166152717,rs1265112,chr6,31118019,CCHCR1,1447960736,3,toxicity,PA447230:HIV,asian,,
PA448803:carboplatin;PA449014:cisplatin;PA128406956:fluorouracil,3,PA166135235,rs12659,chr21,46951556,SLC19A1,1183630290,3,efficacy,PA443685:Uterine Cervical Neoplasms,asian,,
PA450085:irinotecan,1,PA166162361,rs12720066,chr7,87169702,ABCB1,1448531644,3,toxicity,PA446108:Colorectal Neoplasms; PA445113:Neutropenia,,,1
PA450626:nicotine,1,PA166152836,rs12718541,chr7,50550144,DDC,1447963609,3,toxicity,PA445876:Tobacco Use Disorder,,,1
PA134688071:atomoxetine,1,PA166135766,rs12708954,chr16,55731599,SLC6A2,1444703098,3,efficacy,PA447197:Attention Deficit Disorder with Hyperactivity,,1,
PA451906:warfarin,1,PA166134487,rs12714145,chr2,85787341,GGCX,1448615816,3,dosage,,,,1
PA448385:amitriptyline;PA449015:citalopram;PA450801:paroxetine;PA451866:venlafaxine,4,PA166135178,rs12720067,chr7,87169356,ABCB1,1183619321,3,efficacy,PA447278:Depression,white,,
PA449053:clopidogrel,1,PA166134362,rs12248560,chr10,96521657,CYP2C19,1448102395,1A,dosage; efficacy; toxicity,PA165108401:Acute coronary syndrome; PA443796:Coronary Artery Disease; PA445019:Myocardial Infarction,,,1
PA10074:escitalopram,1,PA166134388,rs12248560,chr10,96521656,CYP2C19,982030638,3,dosage,PA447208:Mental Disorders,white,,
PA450373:mephenytoin,1,PA166134389,rs12248560,chr10,96521657,CYP2C19,981418988,3,dosage,,black,,
PA449969:imipramine,1,PA166135144,rs12248560,chr10,96521657,CYP2C19,1183631930,3,other,"PA447321:Depressive Disorder, Major",,,1
PA154410481:prasugrel,1,PA166135744,rs12248560,chr10,96521657,CYP2C19,1444700793,3,toxicity,PA165108401:Acute coronary syndrome,,1,
PA448385:amitriptyline,1,PA166134746,rs12248560,chr10,96521657,CYP2C19,1448260924,3,pk,,,1,
PA449015:citalopram;PA10074:escitalopram,2,PA166134816,rs12248560,chr10,96521657,CYP2C19,1444701088,2A,pk,,,,1
PA448691:busulfan,1,PA166136234,rs12248560,chr10,96521657,CYP2C19,1444686776,3,pk,PA166122646:hemopoietic stem cell transplant,,,1
PA450268:losartan,1,PA166134923,rs12721226,chr3,148459309,AGTR1,1143918657,4,efficacy,,,1,
PA450761:paclitaxel,1,PA166134134,rs12721627,chr7,99366093,CYP3A; CYP3A4,981418823,3,dosage,"PA443622:Carcinoma, Non-Small-Cell Lung; PA445062:Neoplasms",asian,,
PA450496:midazolam,1,PA166134290,rs12721627,chr7,99366092,CYP3A4,982035396,4,other,,,,
PA450688:olanzapine,1,PA166134861,rs12720462,chr1,171217690,FMO1,1043880307,3,other,,white,,
PA450616:nevirapine,1,PA166135651,rs12721646,chr19,41515107,CYP2B6,1448107218,3,other,PA447230:HIV,black,,
PA448015:acetaminophen;PA448497:aspirin;PA449293:diclofenac;PA451140:propionic acid derivatives;PA164713217:Pyrazolones,5,PA166136475,rs12746200,chr1,186849186,PLA2G4A,1446908677,3,toxicity,,,1,
PA449165:cyclophosphamide;PA449412:doxorubicin,2,PA166134860,rs12721655,chr19,41510281,CYP2B6,1043880302,3,efficacy,PA443560:Breast Neoplasms,,,1
PA449383:docetaxel,1,PA166136117,rs12762549,chr10,101620771,ABCC2,1444607702,3,toxicity; pk,,,,1
PA448383:amiodarone,1,PA166134046,rs12720441,chr7,150647304,KCNH2,981418805,4,toxicity,PA446294:Torsades de Pointes,,1,
PA451906:warfarin,1,PA166134655,rs12777823,chr10,96405502,,1447949444,2B,dosage,,black,,
PA450616:nevirapine,1,PA166136284,rs12768009,chr10,96525865,CYP2C19,1444700801,4,pk,PA447230:HIV,,,1
PA449899:hydrochlorothiazide,1,PA166134839,rs12795437,chr11,128730875,KCNJ1,1043873027,3,toxicity,PA443886:Diabetes Mellitus; PA444552:Hypertension,,,1
PA164712445:Antihypertensives,1,PA166136513,rs12817819,chr12,90039326,ATP2B1,1447945963,3,efficacy,PA443796:Coronary Artery Disease; PA444552:Hypertension,,,1
PA164784024:peginterferon alfa-2b;PA451241:ribavirin,2,PA166135306,rs12819210,chr12,121458400,OASL,1183680574,3,efficacy,PA444445:Hepatitis C,white,,
PA164712563:Bisphosphonates,1,PA166134837,rs12903202,chr15,58306793,ALDH1A2,1183679875,3,efficacy,PA445187:Osteonecrosis,white,,
PA449748:gemcitabine;PA164713176:Platinum compounds,2,PA166136285,rs12806698,chr11,4115974,RRM1,1444700813,3,toxicity,PA444937:Mesothelioma,white,,
PA449748:gemcitabine;PA164713176:Platinum compounds,2,PA166153448,rs12806698,chr11,4115974,RRM1,1447990229,3,efficacy,"PA443622:Carcinoma, Non-Small-Cell Lung",asian,,
PA164713176:Platinum compounds,1,PA166135677,rs12819505,chr12,1756665,WNT5B,1444666679,3,efficacy,"PA443622:Carcinoma, Non-Small-Cell Lung",,,1
PA449334:diltiazem,1,PA166135303,rs12946454,chr17,43208121,PLCD3,1184514152,3,efficacy,PA444552:Hypertension,white,,
PA452229:antidepressants,1,PA166134838,rs12800734,chr11,120836753,GRIK4,1043873022,3,efficacy,PA447207:Depressive Disorder,,1,
PA164712789:Hepatitis vaccines,1,PA166136023,rs1295686,chr5,131995843,IL13,1447946103,3,efficacy,,asian,,
PA449599:fentanyl;PA450550:morphine;PA452618:opioids;PA450741:oxycodone,4,PA166135060,rs12948783,chr17,74499400,RHBDF2,1183614551,3,efficacy,PA445062:Neoplasms,,,1
PA450395:metformin,1,PA166135304,rs12943590,chr17,19619998,SLC47A2,1183680564,2B,efficacy,PA443886:Diabetes Mellitus,white,,
PA450395:metformin,1,PA166135305,rs12943590,chr17,19619998,SLC47A2,1448594874,3,pk,,,,1
PA450947:phenytoin,1,PA166134840,rs12782374,chr10,96695350,CYP2C9,1043873036,3,dosage,PA444065:Epilepsy,white,,
PA449383:docetaxel;PA451644:thalidomide,2,PA166134330,rs12960,chr16,89620328,RPL13; SNORD68; SPG7,981419038,3,toxicity,PA445425:Prostatic Neoplasms,,,1
PA10040:cetuximab;PA450085:irinotecan;PA162373091:panitumumab,3,PA166136147,rs13104811,chr4,75395312,AREG,1444665944,3,efficacy,PA446108:Colorectal Neoplasms,,1,
PA164749390:peginterferon alfa-2a;PA164784024:peginterferon alfa-2b;PA451241:ribavirin,3,PA166135871,rs12980275,chr19,39731783,IFNL3,1448105889,3,efficacy,"PA446863:Hepatitis C, Chronic",,,1
PA450616:nevirapine,1,PA166152719,rs130072,chr6,31112484,CCHCR1,1447960750,3,toxicity,PA447230:HIV,asian,,
PA133950441:hmg coa reductase inhibitors,1,PA166136287,rs13064411,chr3,113046640,CFAP44,1444700827,3,efficacy,,,1,
PA164712445:Antihypertensives,1,PA166163508,rs13144136,chr4,10666909,CLNK,1448612781,3,efficacy,PA444552:Hypertension,,,1
PA449048:clomipramine;PA164778866:liothyronine;PA450243:lithium;PA450603:nefazodone;PA451866:venlafaxine,5,PA166135207,rs130058,chr6,78173281,HTR1B,1183624425,3,toxicity,PA447278:Depression,,1,
PA450801:paroxetine,1,PA166135147,rs130058,chr6,78173281,HTR1B,1183617569,3,other,PA447278:Depression,,1,
PA449383:docetaxel,1,PA166136227,rs13207351,chr6,43737794,VEGFA,1444673207,3,efficacy,PA443560:Breast Neoplasms,,1,
PA452619:heroin,1,PA166135538,rs13242038,chr7,86314420,GRM3,1184514468,3,other,PA444460:Heroin Dependence,asian,,
PA10804:imatinib,1,PA166136230,rs13120400,chr4,89033527,ABCG2,1444673396,3,efficacy,"PA446171:Leukemia, Myelogenous, Chronic, BCR-ABL Positive",,1,
PA450428:methotrexate,1,PA166134253,rs13120400,chr4,89033527,ABCG2,981418971,3,efficacy,PA445451:Psoriasis,,1,
PA164760843:deferasirox,1,PA166159061,rs13120400,chr4,89033527,ABCG2,1448101441,3,efficacy; pk,PA446432:beta-Thalassemia,,1,
PA452233:antipsychotics,1,PA166136012,rs13250975,chr8,32392809,NRG1,1447943765,3,efficacy,PA447216:Schizophrenia,asian,,
PA166114414:cotinine,1,PA166135893,rs13253389,chr8,18071907,NAT1,1445401191,3,pk,,white,,
PA164712718:Drugs used in alcohol dependence,1,PA166135392,rs13273672,chr8,11612381,GATA4,1183700497,3,efficacy,PA443309:Alcoholism,,1,
PA449412:doxorubicin,1,PA166134297,rs13058338,chr22,37632770,RAC2,1448099377,3,toxicity,PA445062:Neoplasms,white,,
PA164713257:Selective serotonin reuptake inhibitors,1,PA166135300,rs13306278,chr22,19929027,COMT; TXNRD2,1448105737,2B,efficacy,"PA447321:Depressive Disorder, Major",white,,
PA449053:clopidogrel,1,PA166159662,rs1330344,chr9,125131688,PTGS1,1448124221,3,toxicity,PA166129560:major adverse cardiac events (mace),asian,,
PA452233:antipsychotics,1,PA166161294,rs1334802,chr1,37396339,GRIK3,1448428113,3,toxicity,PA447215:Psychotic Disorders,,,1
PA449061:clozapine;PA450688:olanzapine,2,PA166134020,rs13429709,chr2,162997960,GCG,1184348871,3,other,PA447216:Schizophrenia,white,,
PA449053:clopidogrel,1,PA166151973,rs13431554,chr2,227597588,IRS1,1447954530,3,efficacy,"PA443796:Coronary Artery Disease; PA443890:Diabetes Mellitus, Type 2",asian,,
PA452233:antipsychotics,1,PA166135074,rs1344706,chr2,185778428,ZNF804A,1183630582,3,efficacy,PA447216:Schizophrenia,white,,
PA451333:sertraline,1,PA166135076,rs13432159,chr2,67973887,,1183619612,3,toxicity,"PA447321:Depressive Disorder, Major",,,1
PA451234:repaglinide,1,PA166135301,rs13266634,chr8,118184783,SLC30A8,1183680535,3,efficacy,"PA443890:Diabetes Mellitus, Type 2",asian,,
PA164744571:insulin recombinant;PA451961:zinc acetate,2,PA166136207,rs13266634,chr8,118184783,SLC30A8,1444668487,3,efficacy,,white,,
PA10040:cetuximab;PA450085:irinotecan;PA162373091:panitumumab,3,PA166136145,rs1353295,chr4,75329122,AREG,1444608496,3,efficacy,PA446108:Colorectal Neoplasms,,1,
PA450464:methylphenidate,1,PA166152880,rs1355368,chr4,62779822,LPHN3,1447964283,3,efficacy,PA447197:Attention Deficit Disorder with Hyperactivity,,,1
PA448497:aspirin,1,PA166136288,rs1353411,chr14,52781101,PTGER2,1444700835,3,toxicity,PA443450:Asthma,asian,,
PA449594:fenofibrate,1,PA166134834,rs135543,chr22,46555320,PPARA,1043873002,3,efficacy,,white,,
"PA164713347:Thiazides, plain",1,PA166135299,rs13306673,chr16,56900931,SLC12A3,1183680525,3,efficacy,PA447288:Essential hypertension,asian,,
PA449594:fenofibrate,1,PA166134835,rs135550,chr22,46553233,PPARA,1043873007,3,efficacy,,white,,
PA133950441:hmg coa reductase inhibitors;PA451363:simvastatin,2,PA166135277,rs1346268,chr15,45673029,,1183679143,2B,toxicity,,white,,
PA164713366:Tumor necrosis factor alpha (TNF-alpha) inhibitors,1,PA166158976,rs13393173,chr2,169389091,CERS6,1448100462,3,efficacy,"PA443434:Arthritis, Rheumatoid",white,,
PA450546:montelukast,1,PA166136416,rs1364805,chr4,107673848,,1446897507,3,efficacy,PA443450:Asthma,,,1
PA449690:fluvoxamine;PA164752812:milnacipran;PA450801:paroxetine,3,PA166134836,rs1364043,chr5,63250850,HTR1A,1043873012,3,efficacy,"PA447321:Depressive Disorder, Major",asian,,
PA448499:atenolol,1,PA166136013,rs1367094,chr8,40402374,ZMAT4,1447943777,3,efficacy,PA444552:Hypertension,black,,
PA449383:docetaxel,1,PA166134337,rs1382368,chr5,82451075,XRCC4,981419042,4,dosage,"PA443622:Carcinoma, Non-Small-Cell Lung",white,,
PA10832:corticosteroids,1,PA166136511,rs138335,chr22,41227086,ST13,1447944811,3,efficacy,PA443450:Asthma,,1,
PA449014:cisplatin;PA131285527:oxaliplatin;PA150595617:platinum;PA164713176:Platinum compounds,4,PA166134348,rs13181,chr19,45854919,ERCC2; KLC3,981419048,3,efficacy,PA446108:Colorectal Neoplasms; PA444101:Esophageal Neoplasms; PA445601:Osteosarcoma; PA445204:Ovarian Neoplasms; PA445218:Pancreatic Neoplasms,,,1
PA128406956:fluorouracil;PA450198:leucovorin;PA131285527:oxaliplatin,3,PA166134590,rs13181,chr19,45854918,ERCC2,981237963,3,efficacy; toxicity,PA446108:Colorectal Neoplasms,,1,
PA449383:docetaxel,1,PA166136384,rs13181,chr19,45854919,ERCC2,1448263870,3,toxicity,PA443560:Breast Neoplasms,white,,
PA164713176:Platinum compounds,1,PA166136168,rs13181,chr19,45854919,ERCC2,1444666627,3,toxicity,"PA443622:Carcinoma, Non-Small-Cell Lung",,1,
PA166110256:bufuralol;PA449273:dextromethorphan,2,PA166153038,rs138417770,chr22,42526720,CYP2D6,1447982816,4,pk,,,1,
PA165948902:boceprevir;PA164784024:peginterferon alfa-2b;PA451241:ribavirin,3,PA166135302,rs12979860,chr19,39738787,IFNL3; IFNL4,1448105743,2A,efficacy,"PA446863:Hepatitis C, Chronic",,,1
PA164749390:peginterferon alfa-2a;PA164784024:peginterferon alfa-2b;PA451241:ribavirin,3,PA166134444,rs12979860,chr19,39738787,IFNL3; IFNL4,1448107061,1A,efficacy,PA444445:Hepatitis C,,,1
PA164749390:peginterferon alfa-2a;PA164784024:peginterferon alfa-2b;PA451241:ribavirin;PA165958354:telaprevir,4,PA166135481,rs12979860,chr19,39738787,IFNL3; IFNL4,1448105804,1A,efficacy,"PA446863:Hepatitis C, Chronic",,,1
PA166128130:deleobuvir;PA166128132:faldaprevir,2,PA166136349,rs12979860,chr19,39738787,IFNL3; IFNL4,1444876864,3,efficacy,"PA446863:Hepatitis C, Chronic",,,1
PA166128166:ledipasvir;PA166122593:sofosbuvir,2,PA166135872,rs12979860,chr19,39738787,IFNL3; IFNL4,1444930647,3,efficacy,"PA446863:Hepatitis C, Chronic",,,1
PA166128167:daclatasvir;PA164749390:peginterferon alfa-2a;PA164784024:peginterferon alfa-2b;PA451241:ribavirin,4,PA166135873,rs12979860,chr19,39738787,IFNL3; IFNL4,1444930913,3,efficacy,"PA446863:Hepatitis C, Chronic",,,1
PA166122590:simeprevir,1,PA166136350,rs12979860,chr19,39738787,IFNL3; IFNL4,1444930855,3,efficacy,"PA446863:Hepatitis C, Chronic",,,1
PA166128166:ledipasvir;PA166122593:sofosbuvir,2,PA166162412,rs12979860,chr19,39738787,IFNL3; IFNL4,1448532318,3,efficacy,"PA446863:Hepatitis C, Chronic; PA445506:Recurrence",,1,
PA450084:irbesartan,1,PA166134263,rs1367117,chr2,21263900,APOB,981418978,3,efficacy,PA444552:Hypertension,white,,
PA448803:carboplatin;PA449383:docetaxel;PA450761:paclitaxel,3,PA166135249,rs139887,chr22,38371396,SOX10,1183631563,3,toxicity,PA445204:Ovarian Neoplasms,,1,
PA450626:nicotine,1,PA166135746,rs140471703,chr19,41352817,CYP2A6,1444700850,3,pk,,black,,
PA164713176:Platinum compounds,1,PA166153057,rs1409314,chr10,120615752,EIF3A,1448106548,3,toxicity,"PA443622:Carcinoma, Non-Small-Cell Lung",asian,,
PA449383:docetaxel;PA451644:thalidomide,2,PA166134329,rs1402467,chr2,108994808,SULT1C4,981419037,3,efficacy,PA445425:Prostatic Neoplasms,,,1
PA448964:chlorpromazine;PA449061:clozapine;PA449841:haloperidol;PA450688:olanzapine;PA451201:quetiapine;PA451257:risperidone;PA451771:trifluoperazine,7,PA166158975,rs1415744,chr6,146022531,EPM2A,1448100394,3,efficacy,PA447216:Schizophrenia,asian,,
PA450688:olanzapine,1,PA166135103,rs1414334,chrX,114138144,HTR2C,1183615139,3,toxicity,PA447208:Mental Disorders,white,,
PA452233:antipsychotics;PA449061:clozapine;PA451257:risperidone,3,PA166134285,rs1414334,chrX,114138144,HTR2C,1446906316,2B,toxicity,PA447159:Metabolic Syndrome X; PA447216:Schizophrenia,white,,
PA449165:cyclophosphamide;PA449177:cytarabine;PA449212:daunorubicin;PA449247:dexamethasone;PA449412:doxorubicin;PA450428:methotrexate;PA164760860:pegaspargase;PA451100:prednisone;PA451663:thioguanine;PA451879:vincristine,10,PA166158882,rs141059755,chr8,66107605,LINC00251,1448106438,3,toxicity,PA445187:Osteonecrosis; PA446155:Precursor Cell Lymphoblastic Leukemia-Lymphoma,,,1
PA449594:fenofibrate,1,PA166135073,rs1417938,chr1,159684186,CRP,1183614710,3,efficacy,PA162370415:metabolic syndrome,white,,
PA450243:lithium,1,PA166135862,rs1387923,chr9,87640636,NTRK2,1448107357,4,efficacy,PA447199:Bipolar Disorder,white,,
PA164749390:peginterferon alfa-2a;PA164784024:peginterferon alfa-2b;PA451241:ribavirin,3,PA166159242,rs14158,chr19,11242044,LDLR,1448104141,3,efficacy,"PA446863:Hepatitis C, Chronic; PA447230:HIV",white,,
PA10832:corticosteroids,1,PA166136015,rs138337,chr22,41231053,ST13,1447944818,3,efficacy,PA443450:Asthma,,1,
PA448068:salbutamol,1,PA166152756,rs1419555,chr7,125569441,,1447961127,3,efficacy,PA443450:Asthma,,1,
PA449301:didanosine,1,PA166135346,rs1429376,chr2,31588561,XDH,1183693442,3,toxicity,PA447230:HIV,,,1
PA452229:antidepressants;PA449015:citalopram;PA449048:clomipramine;PA450243:lithium;PA450603:nefazodone;PA450801:paroxetine;PA451866:venlafaxine,7,PA166134129,rs1360780,chr6,35607571,FKBP5,1446908912,3,efficacy,PA447278:Depression,,,1
PA449048:clomipramine;PA450603:nefazodone;PA450801:paroxetine;PA451866:venlafaxine,4,PA166134596,rs1360780,chr6,35607571,FKBP5,1183629915,3,toxicity,PA447278:Depression,,1,
PA449061:clozapine,1,PA166135732,rs1360780,chr6,35607571,FKBP5,1444700387,3,efficacy,PA447216:Schizophrenia,white,,
PA448068:salbutamol,1,PA166135298,rs1423515,chr5,82062544,,1183680520,3,efficacy,PA443450:Asthma,,1,
PA451089:pravastatin,1,PA166158956,rs1433099,chr19,11131982,LDLR,1448100234,3,efficacy,PA446021:Vascular Diseases,white,,
PA450037:interferon beta-1a;PA450039:interferon beta-1b,2,PA166152638,rs1448673,chr7,17605070,,1447959729,3,efficacy,PA444987:Multiple Sclerosis,,,1
PA450626:nicotine,1,PA166135747,rs143690364,chr19,41355864,CYP2A6,1444700858,3,pk,,black,,
PA449383:docetaxel,1,PA166136225,rs144854329,chr6,43736416,VEGFA,1444673182,3,efficacy,PA443560:Breast Neoplasms,,1,
PA452229:antidepressants,1,PA166161281,rs1439050,chr9,87288193,NTRK2,1448427977,3,toxicity,"PA447321:Depressive Disorder, Major",,1,
"PA164712308:Ace Inhibitors, Plain",1,PA166136434,rs145489027,chr4,21391194,KCNIP4,1446899734,2A,toxicity,,,,1
PA452233:antipsychotics,1,PA166136514,rs1468412,chr7,86433451,GRM3,1447945983,3,toxicity,PA447216:Schizophrenia,,,1
PA449690:fluvoxamine,1,PA166136016,rs1449683,chr4,123748086,FGF2,1447944824,3,efficacy,PA447207:Depressive Disorder,asian,,
PA450428:methotrexate,1,PA166136027,rs1476413,chr1,11852300,MTHFR,1184748873,4,efficacy,"PA443434:Arthritis, Rheumatoid",,1,
PA450522:mirtazapine;PA451866:venlafaxine,2,PA166134239,rs1487278,chr12,72400850,TPH2,982030525,3,efficacy,PA447278:Depression,white,,
PA451234:repaglinide,1,PA166159208,rs1470579,chr3,185529080,IGF2BP2,1448103978,3,efficacy,"PA443890:Diabetes Mellitus, Type 2",asian,,
PA449061:clozapine,1,PA166162393,rs149104283,chr12,21083862,,1448532007,3,toxicity,PA445113:Neutropenia,,,1
PA450401:methadone,1,PA166134699,rs1491850,chr11,27749724,BDNF,982032310,3,dosage,PA444460:Heroin Dependence; PA445043:Opioid-Related Disorders,,,1
PA450395:metformin,1,PA166135695,rs149711321,chr22,46594035,PPARA,1444668311,3,efficacy; pk,PA443886:Diabetes Mellitus,,,1
PA164712708:Drugs For Treatment Of Tuberculosis;PA450112:isoniazid,2,PA166136286,rs1495741,chr8,18272881,,1444700820,3,toxicity,PA445941:Tuberculosis,asian,,
"PA164712308:Ace Inhibitors, Plain",1,PA166135942,rs1495509,chr4,21393616,KCNIP4,1446899741,3,toxicity,,,,1
PA450085:irinotecan,1,PA166135297,rs1517114,chr8,69389217,C8orf34,1183680515,2B,toxicity,"PA443622:Carcinoma, Non-Small-Cell Lung",asian,,
PA448068:salbutamol,1,PA166135296,rs1522113,chr4,56331771,CLOCK,1183680510,3,efficacy,PA443450:Asthma,,1,
PA10364:memantine,1,PA166135241,rs1523130,chr3,119499507,NR1I2,1183631464,3,other,PA443853:Dementia,,,1
PA451257:risperidone,1,PA166160777,rs1523130,chr3,119499507,NR1I2,1448266418,3,pk,PA447199:Bipolar Disorder; PA447278:Depression; PA446876:Substance-Related Disorders,,1,
PA449383:docetaxel,1,PA166158793,rs1536475,chr9,137321156,RXRA,1448098358,3,toxicity,PA445046:Nasopharyngeal Neoplasms,asian,,
PA133950441:hmg coa reductase inhibitors,1,PA166135391,rs1532624,chr16,57005479,CETP,1183700492,2B,efficacy,PA444528:Hyperlipidemias,,1,
PA450428:methotrexate,1,PA166134392,rs1544105,chr9,130562725,FPGS,981418990,3,efficacy,"PA443434:Arthritis, Rheumatoid",asian,,
PA448682:bumetanide;PA449719:furosemide;PA451733:torasemide,3,PA166136210,rs1529927,chr16,56904587,SLC12A3,1448106085,3,efficacy,,white,,
PA449015:citalopram;PA449673:fluoxetine;PA450801:paroxetine;PA451333:sertraline,4,PA166135071,rs153560,chr5,112254377,REEP5,1183619593,3,efficacy,"PA447321:Depressive Disorder, Major",asian,,
PA452233:antipsychotics,1,PA166136017,rs1544938,chr5,7634232,ADCY2,1447944860,3,efficacy,PA447216:Schizophrenia,asian,,
PA448785:carbamazepine,1,PA166160833,rs15524,chr7,99245914,CYP3A5,1448266843,3,pk,PA444065:Epilepsy,asian,,
PA449027:cladribine;PA449177:cytarabine,2,PA166135383,rs1561876,chr11,4113395,RRM1,1183700257,3,efficacy,"PA444760:Leukemia, Myeloid, Acute",,,1
PA134687887:selective beta-2-adrenoreceptor agonists,1,PA166151815,rs1540339,chr12,48257326,VDR,1447949637,3,efficacy,PA443450:Asthma,white,,
PA449383:docetaxel;PA449476:epirubicin,2,PA166135888,rs1563828,chr1,204516577,MDM4,1448102820,3,efficacy,PA443560:Breast Neoplasms,,1,
PA449383:docetaxel,1,PA166136228,rs1570360,chr6,43737830,VEGFA,1445402448,3,efficacy,PA443560:Breast Neoplasms,,1,
PA449165:cyclophosphamide;PA449383:docetaxel,2,PA166135892,rs1570360,chr6,43737830,VEGFA,1448102838,3,efficacy,PA445425:Prostatic Neoplasms,,1,
PA7000:sorafenib,1,PA166135999,rs1570360,chr6,43737830,VEGFA,1447814170,3,efficacy,"PA443624:Carcinoma, Renal Cell",asian,,
"PA164712362:Analgesics;PA164712462:Antiinflammatory agents, non-steroids;PA164712741:Ergot alkaloids;PA452618:opioids;PA451566:sumatriptan",5,PA166135605,rs1611115,chr9,136500515,DBH,1184987588,3,other,PA445768:Substance Withdrawal Syndrome,,1,
PA450213:levodopa,1,PA166136289,rs1611115,chr9,136500515,DBH,1444700879,3,efficacy,PA446878:Cocaine-Related Disorders,,1,
PA450588:naltrexone,1,PA166135880,rs1611115,chr9,136500515,DBH,1445400922,3,efficacy,PA443309:Alcoholism,white,,
PA449301:didanosine,1,PA166135345,rs1594160,chr2,31578969,XDH,1183693437,3,toxicity,PA447230:HIV,,,1
PA448497:aspirin,1,PA166134790,rs1613662,chr19,55536594,GP6,1043858679,3,efficacy,PA443796:Coronary Artery Disease,,1,
PA450428:methotrexate,1,PA166135565,rs1643650,chr5,79940143,DHFR,1184748893,4,efficacy,"PA443434:Arthritis, Rheumatoid",,1,
PA10810:pemetrexed,1,PA166135682,rs1650697,chr5,79950781,DHFR,1444666775,3,toxicity,"PA443622:Carcinoma, Non-Small-Cell Lung; PA444937:Mesothelioma",,,1
PA450428:methotrexate,1,PA166136526,rs1650723,chr5,79922030,DHFR,1447946231,3,toxicity,PA445601:Osteosarcoma,,1,
PA448068:salbutamol,1,PA166152758,rs1663330,chr14,66443496,,1447961141,3,efficacy,PA443450:Asthma,,1,
PA448068:salbutamol,1,PA166152759,rs1663332,chr14,66444344,,1447961149,3,efficacy,PA443450:Asthma,,1,
PA164712563:Bisphosphonates,1,PA166135293,rs1678387,chr13,95717906,ABCC4,1183679867,3,toxicity,PA445187:Osteonecrosis,white,,
PA450428:methotrexate,1,PA166134471,rs151264360,chr18,673444,TYMS,1448423059,3,toxicity,PA443937:Drug Toxicity; PA164925725:Toxic liver disease,,1,
PA450428:methotrexate,1,PA166134472,rs151264360,chr18,673444,TYMS,1448423053,3,efficacy,"PA443434:Arthritis, Rheumatoid; PA446155:Precursor Cell Lymphoblastic Leukemia-Lymphoma",white,,
PA448771:capecitabine;PA128406956:fluorouracil,2,PA166134497,rs151264360,chr18,673444,TYMS,1448568541,2A,efficacy,PA445062:Neoplasms,,,1
PA128406956:fluorouracil,1,PA166134498,rs151264360,chr18,673444,TYMS,1448423073,3,efficacy,PA446108:Colorectal Neoplasms,,1,
PA10810:pemetrexed,1,PA166136370,rs151264360,chr18,673444,TYMS,1448106249,3,efficacy,PA444937:Mesothelioma,,1,
PA448687:bupropion,1,PA166134271,rs165599,chr22,19956781,COMT,1448108788,3,efficacy,PA445876:Tobacco Use Disorder,white,,
PA451257:risperidone,1,PA166134220,rs165599,chr22,19956781,COMT,981418948,3,efficacy,PA447216:Schizophrenia,,,1
PA450428:methotrexate,1,PA166136029,rs16853826,chr2,216205167,ATIC,1184748883,3,toxicity,"PA443434:Arthritis, Rheumatoid",,1,
PA448497:aspirin,1,PA166134789,rs16851030,chr1,203135452,ADORA1,1448107083,3,toxicity,PA443450:Asthma,asian,,
PA451257:risperidone,1,PA166134395,rs167771,chr3,113876275,DRD3,981418915,3,toxicity,PA447199:Bipolar Disorder; PA447216:Schizophrenia,white,,
"PA164712308:Ace Inhibitors, Plain",1,PA166136433,rs16870989,chr4,21386764,KCNIP4,1446899727,3,toxicity,,,,1
PA10066:duloxetine,1,PA166135206,rs167770,chr3,113879562,DRD3,1183624337,3,efficacy,PA447196:Anxiety Disorders,white,,
PA452229:antidepressants,1,PA166158944,rs16873129,chr7,22145084,RAPGEF5,1448106560,3,efficacy,"PA447321:Depressive Disorder, Major",asian,,
PA164713366:Tumor necrosis factor alpha (TNF-alpha) inhibitors,1,PA166135722,rs1554973,chr9,120480812,CNPY4,1444687037,3,efficacy,PA446116:Inflammatory Bowel Diseases,,,
PA448803:carboplatin;PA449014:cisplatin;PA449383:docetaxel;PA450761:paclitaxel,4,PA166152682,rs16886403,chr5,56139246,MAP3K1,1447960376,3,efficacy,"PA443622:Carcinoma, Non-Small-Cell Lung",,,1
PA451690:timolol,1,PA166135750,rs16947,chr22,42523943,,1444700886,3,toxicity,PA443548:Bradycardia,asian,,
PA450243:lithium,1,PA166152952,rs16909440,chr11,5080844,OR52E2,1447980729,3,efficacy,PA447199:Bipolar Disorder,,1,
PA449014:cisplatin;PA450085:irinotecan,2,PA166135292,rs16950650,chr13,95775432,ABCC4,1183679862,3,efficacy,"PA446661:Carcinoma, Small Cell",asian,,
PA449899:hydrochlorothiazide,1,PA166135259,rs16960228,chr17,64788827,PRKCA,1183634106,2B,efficacy,PA444552:Hypertension,white,,
